,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8682191848754883,0.09078647222374185,0.01598019599914551,0.0032763704651153605,0.6,0.05,0,3,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",-8.382361245943482,-7.042542895438688,-8.708475130458927,-7.951710148901775,-6.912060322483936,-7.799429948645363,0.7140958148713675,694
1,1.0783084392547608,0.21674460385268318,0.01524958610534668,0.004507801941132471,0.6,0.05,0,3,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",-8.62718480192791,-7.16699161246244,-8.434132269995494,-8.50704826672671,-6.884587768730378,-7.9239889439685856,0.7413620660095986,1234
2,0.8109660625457764,0.012348767503679641,0.011428260803222656,5.705105022394684e-05,0.6,0.05,0,3,1,1.0,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",-8.64281448677256,-7.071644533623871,-8.279297980447625,-8.090052570932267,-7.174117526906885,-7.851585419736641,0.6217907340830027,961
3,0.7884501457214356,0.007433268780057443,0.011685323715209962,0.00035269638106046893,0.6,0.05,0,3,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",-8.422534890292743,-7.182757885352577,-8.290209340394075,-7.818789104068979,-7.0095766538694395,-7.7447735747955635,0.5689841863305964,400
4,0.8026271820068359,0.010135409109246093,0.011628103256225587,0.00027545539248057595,0.6,0.05,0,3,5,0.8,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",-8.372680977360565,-6.95890965241378,-8.43450360069134,-8.11183041929874,-6.6694612836169265,-7.70947718667627,0.7446308340250941,217
5,0.8003560066223144,0.019654351951122046,0.011521339416503906,0.00010403762893154085,0.6,0.05,0,3,5,1.0,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0}",-8.320072223918816,-7.164647112311306,-8.360539730149565,-8.06087011474301,-6.83703041451184,-7.7486319191269075,0.6277775784050779,436
6,0.7827510833740234,0.010411023584216842,0.012049055099487305,0.00037575217670326197,0.6,0.05,0,3,10,0.6,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",-8.38724099967655,-6.7739494829327676,-8.360577290243116,-8.06899354406042,-7.042620740533522,-7.726676411489275,0.6827851316288439,289
7,0.811234998703003,0.010015486907423182,0.012283039093017579,0.0002534847406556347,0.6,0.05,0,3,10,0.8,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",-8.559210241296286,-7.106539891457324,-8.207863439013735,-7.89777576497582,-6.820119519904978,-7.718301771329628,0.6572659355484313,256
8,0.9143518447875977,0.17353517898367687,0.02163395881652832,0.01999193233271412,0.6,0.05,0,3,10,1.0,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",-8.395397986939596,-6.820508187656865,-8.213896155414426,-7.882818945481352,-6.868409065552983,-7.636206068209044,0.6672018266135986,22
9,1.2003000736236573,0.011531848318310408,0.011806344985961914,0.0002438512592298702,0.6,0.05,0,5,1,0.6,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6}",-8.867039901345665,-7.216019474658428,-8.142416800459408,-7.767719347565617,-6.820240293105127,-7.7626871634268495,0.7142641745446129,511
10,1.2250144004821777,0.016928579643969544,0.01164383888244629,5.495647028202839e-05,0.6,0.05,0,5,1,0.8,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8}",-8.933909228107096,-6.970338830796555,-8.401532703693134,-8.291995772702988,-7.102739431078259,-7.940103193275607,0.7701969883586145,1252
11,1.2056029319763184,0.0066719551545331105,0.012157106399536132,0.0004030202893958693,0.6,0.05,0,5,1,1.0,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 1.0}",-8.561239505298357,-7.05544145389726,-8.42004812644837,-7.858674055897329,-7.344211515994234,-7.847922931507109,0.5861766700031975,958
12,1.1598134517669678,0.013868023826883485,0.012072896957397461,0.0005805354557319991,0.6,0.05,0,5,5,0.6,"{'colsample_bytree': 0.6, 'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6}",-9.106244336969231,-7.197571230356256,-8.524764437073136,-7.7316666223556565,-6.827091271965936,-7.877467579744042,0.8385335883114937,1087
